Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime,AOR
01-02-2016 10:00,61,Monday,2,30,48,24.98333333,2.3
21-12-2015 10:00,61,Monday,2,11,53,25.48333333,2.8
18-04-2016 10:00,61,Monday,2,34,64,24.25,3.9
25-04-2016 10:00,61,Monday,2,23,52,25.18333333,2.7
02-05-2016 10:00,61,Monday,2,28,57,22.13333333,3.2
09-05-2016 10:00,61,Monday,2,26,55,22.25,3
07-03-2016 10:00,61,Monday,2,26,51,23.93333333,2.6
14-03-2016 10:00,61,Monday,2,28,56,24.1,3.1
21-03-2016 10:00,61,Monday,2,26,56,24.83333333,3.1
28-03-2016 10:00,61,Monday,2,24,51,22.66666667,2.6
08-02-2016 10:00,61,Monday,2,34,57,21.11666667,3.2
15-02-2016 10:00,61,Monday,2,30,67,22.36666667,4.2
22-02-2016 10:00,61,Monday,2,28,55,19.53333333,3
29-02-2016 10:00,61,Monday,2,20,55,22.83333333,3
16-05-2016 10:00,61,Monday,2,32,58,25.91666667,3.3
25-01-2016 10:00,61,Monday,2,26,54,27.4,2.9
23-05-2016 10:00,61,Monday,2,30,55,24.43333333,3
30-05-2016 10:00,61,Monday,2,30,58,23.43333333,3.3
06-06-2016 10:00,61,Monday,2,26,56,22.88333333,3.1
13-06-2016 10:00,61,Monday,2,23,61,24.33333333,3.6
20-06-2016 10:00,61,Monday,2,34,58,23.45,3.3
27-06-2016 10:00,61,Monday,2,32,53,21.21666667,2.8
04-07-2016 10:00,61,Monday,2,26,56,20.85,3.1
11-07-2016 10:00,61,Monday,2,32,61,22,3.6
18-07-2016 10:00,61,Monday,2,23,56,19.63333333,3.1
25-07-2016 10:00,61,Monday,2,26,57,21.86666667,3.2
01-08-2016 10:00,61,Monday,2,26,58,23.73333333,3.3
08-08-2016 10:00,61,Monday,2,30,56,20.31666667,3.1
15-08-2016 10:00,61,Monday,2,26,54,20.53333333,2.9
22-08-2016 10:00,61,Monday,2,26,56,20.25,3.1
12-09-2016 10:00,61,Monday,2,28,56,19.33333333,3.1
12-04-2016 10:30,64,Tuesday,3,30,53,24.88333333,2.8
02-02-2016 10:30,64,Tuesday,3,26,48,24.3,2.3
22-12-2015 10:30,64,Tuesday,3,26,57,24.93333333,3.2
19-04-2016 10:30,64,Tuesday,3,30,64,23.16666667,3.9
26-04-2016 10:30,64,Tuesday,3,26,53,27,2.8
03-05-2016 10:30,64,Tuesday,3,26,56,18.4,3.1
10-05-2016 10:30,64,Tuesday,3,30,56,24.33333333,3.1
08-03-2016 10:30,64,Tuesday,3,28,59,21.86666667,3.4
15-03-2016 10:30,64,Tuesday,3,30,53,23.45,2.8
22-03-2016 10:30,64,Tuesday,3,30,56,27.9,3.1
29-03-2016 10:30,64,Tuesday,3,32,53,23.9,2.8
02-02-2016 10:30,64,Tuesday,3,26,48,24.3,2.3
09-02-2016 10:30,64,Tuesday,3,28,59,26.08333333,3.4
