Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime,AOR
01-02-2016 10:00,61,Monday,2,30,48,24.48333333,3.8
21-12-2015 10:00,61,Monday,2,11,53,24.98333333,4.3
18-04-2016 10:00,61,Monday,2,34,64,23.75,5.4
25-04-2016 10:00,61,Monday,2,23,52,24.68333333,4.2
02-05-2016 10:00,61,Monday,2,28,57,21.63333333,4.7
09-05-2016 10:00,61,Monday,2,26,55,21.75,4.5
07-03-2016 10:00,61,Monday,2,26,51,23.43333333,4.1
14-03-2016 10:00,61,Monday,2,28,56,23.6,4.6
21-03-2016 10:00,61,Monday,2,26,56,24.33333333,4.6
28-03-2016 10:00,61,Monday,2,24,51,22.16666667,4.1
08-02-2016 10:00,61,Monday,2,34,57,20.61666667,4.7
15-02-2016 10:00,61,Monday,2,30,67,21.86666667,5.7
22-02-2016 10:00,61,Monday,2,28,55,19.03333333,4.5
29-02-2016 10:00,61,Monday,2,20,55,22.33333333,4.5
16-05-2016 10:00,61,Monday,2,32,58,25.41666667,4.8
25-01-2016 10:00,61,Monday,2,26,54,26.9,4.4
23-05-2016 10:00,61,Monday,2,30,55,23.93333333,4.5
30-05-2016 10:00,61,Monday,2,30,58,22.93333333,4.8
06-06-2016 10:00,61,Monday,2,26,56,22.38333333,4.6
13-06-2016 10:00,61,Monday,2,23,61,23.83333333,5.1
20-06-2016 10:00,61,Monday,2,34,58,22.95,4.8
27-06-2016 10:00,61,Monday,2,32,53,20.71666667,4.3
04-07-2016 10:00,61,Monday,2,26,56,20.35,4.6
11-07-2016 10:00,61,Monday,2,32,61,21.5,5.1
18-07-2016 10:00,61,Monday,2,23,56,19.13333333,4.6
25-07-2016 10:00,61,Monday,2,26,57,21.36666667,4.7
01-08-2016 10:00,61,Monday,2,26,58,23.23333333,4.8
08-08-2016 10:00,61,Monday,2,30,56,19.81666667,4.6
15-08-2016 10:00,61,Monday,2,26,54,20.03333333,4.4
22-08-2016 10:00,61,Monday,2,26,56,19.75,4.6
12-09-2016 10:00,61,Monday,2,28,56,18.83333333,4.6
