Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime,AOR
01-02-2016 10:00,61,Monday,2,30,48,17.98333333,2.5
21-12-2015 10:00,61,Monday,2,11,53,18.48333333,3
18-04-2016 10:00,61,Monday,2,34,64,17.25,4.1
25-04-2016 10:00,61,Monday,2,23,52,18.18333333,2.9
02-05-2016 10:00,61,Monday,2,28,57,15.13333333,3.4
09-05-2016 10:00,61,Monday,2,26,55,15.25,3.2
07-03-2016 10:00,61,Monday,2,26,51,16.93333333,2.8
14-03-2016 10:00,61,Monday,2,28,56,17.1,3.3
21-03-2016 10:00,61,Monday,2,26,56,17.83333333,3.3
28-03-2016 10:00,61,Monday,2,24,51,15.66666667,2.8
08-02-2016 10:00,61,Monday,2,34,57,14.11666667,3.4
15-02-2016 10:00,61,Monday,2,30,67,15.36666667,4.4
22-02-2016 10:00,61,Monday,2,28,55,12.53333333,3.2
29-02-2016 10:00,61,Monday,2,20,55,15.83333333,3.2
16-05-2016 10:00,61,Monday,2,32,58,18.91666667,3.5
25-01-2016 10:00,61,Monday,2,26,54,20.4,3.1
23-05-2016 10:00,61,Monday,2,30,55,17.43333333,3.2
30-05-2016 10:00,61,Monday,2,30,58,16.43333333,3.5
06-06-2016 10:00,61,Monday,2,26,56,15.88333333,3.3
13-06-2016 10:00,61,Monday,2,23,61,17.33333333,3.8
20-06-2016 10:00,61,Monday,2,34,58,16.45,3.5
27-06-2016 10:00,61,Monday,2,32,53,14.21666667,3
04-07-2016 10:00,61,Monday,2,26,56,13.85,3.3
11-07-2016 10:00,61,Monday,2,32,61,15,3.8
18-07-2016 10:00,61,Monday,2,23,56,12.63333333,3.3
25-07-2016 10:00,61,Monday,2,26,57,14.86666667,3.4
01-08-2016 10:00,61,Monday,2,26,58,16.73333333,3.5
08-08-2016 10:00,61,Monday,2,30,56,13.31666667,3.3
15-08-2016 10:00,61,Monday,2,26,54,13.53333333,3.1
22-08-2016 10:00,61,Monday,2,26,56,13.25,3.3
12-09-2016 10:00,61,Monday,2,28,56,12.33333333,3.3
12-04-2016 10:30,64,Tuesday,3,30,53,17.88333333,3
02-02-2016 10:30,64,Tuesday,3,26,48,17.3,2.5
22-12-2015 10:30,64,Tuesday,3,26,57,17.93333333,3.4
19-04-2016 10:30,64,Tuesday,3,30,64,16.16666667,4.1
