Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime,AOR
01-02-2016 10:00,61,Monday,2,30,48,20.48333333,1.8
21-12-2015 10:00,61,Monday,2,11,53,20.98333333,2.3
18-04-2016 10:00,61,Monday,2,34,64,19.75,3.4
25-04-2016 10:00,61,Monday,2,23,52,20.68333333,2.2
02-05-2016 10:00,61,Monday,2,28,57,17.63333333,2.7
09-05-2016 10:00,61,Monday,2,26,55,17.75,2.5
07-03-2016 10:00,61,Monday,2,26,51,19.43333333,2.1
14-03-2016 10:00,61,Monday,2,28,56,19.6,2.6
21-03-2016 10:00,61,Monday,2,26,56,20.33333333,2.6
28-03-2016 10:00,61,Monday,2,24,51,18.16666667,2.1
08-02-2016 10:00,61,Monday,2,34,57,16.61666667,2.7
15-02-2016 10:00,61,Monday,2,30,67,17.86666667,3.7
22-02-2016 10:00,61,Monday,2,28,55,15.03333333,2.5
29-02-2016 10:00,61,Monday,2,20,55,18.33333333,2.5
16-05-2016 10:00,61,Monday,2,32,58,21.41666667,2.8
25-01-2016 10:00,61,Monday,2,26,54,22.9,2.4
23-05-2016 10:00,61,Monday,2,30,55,19.93333333,2.5
30-05-2016 10:00,61,Monday,2,30,58,18.93333333,2.8
06-06-2016 10:00,61,Monday,2,26,56,18.38333333,2.6
13-06-2016 10:00,61,Monday,2,23,61,19.83333333,3.1
20-06-2016 10:00,61,Monday,2,34,58,18.95,2.8
27-06-2016 10:00,61,Monday,2,32,53,16.71666667,2.3
04-07-2016 10:00,61,Monday,2,26,56,16.35,2.6
11-07-2016 10:00,61,Monday,2,32,61,17.5,3.1
18-07-2016 10:00,61,Monday,2,23,56,15.13333333,2.6
25-07-2016 10:00,61,Monday,2,26,57,17.36666667,2.7
01-08-2016 10:00,61,Monday,2,26,58,19.23333333,2.8
08-08-2016 10:00,61,Monday,2,30,56,15.81666667,2.6
15-08-2016 10:00,61,Monday,2,26,54,16.03333333,2.4
22-08-2016 10:00,61,Monday,2,26,56,15.75,2.6
12-09-2016 10:00,61,Monday,2,28,56,14.83333333,2.6
12-04-2016 10:30,64,Tuesday,3,30,53,20.38333333,2.3
02-02-2016 10:30,64,Tuesday,3,26,48,19.8,1.8
22-12-2015 10:30,64,Tuesday,3,26,57,20.43333333,2.7
19-04-2016 10:30,64,Tuesday,3,30,64,18.66666667,3.4
26-04-2016 10:30,64,Tuesday,3,26,53,22.5,2.3
03-05-2016 10:30,64,Tuesday,3,26,56,13.9,2.6
10-05-2016 10:30,64,Tuesday,3,30,56,19.83333333,2.6
08-03-2016 10:30,64,Tuesday,3,28,59,17.36666667,2.9
15-03-2016 10:30,64,Tuesday,3,30,53,18.95,2.3
22-03-2016 10:30,64,Tuesday,3,30,56,23.4,2.6
29-03-2016 10:30,64,Tuesday,3,32,53,19.4,2.3
02-02-2016 10:30,64,Tuesday,3,26,48,19.8,1.8
09-02-2016 10:30,64,Tuesday,3,28,59,21.58333333,2.9
16-02-2016 10:30,64,Tuesday,3,30,62,18.16666667,3.2
23-02-2016 10:30,64,Tuesday,3,28,61,18.16666667,3.1
17-05-2016 10:30,64,Tuesday,3,34,64,23.23333333,3.4
26-01-2016 10:30,64,Tuesday,3,28,52,17.86666667,2.2
24-05-2016 10:30,64,Tuesday,3,23,57,20.61666667,2.7
31-05-2016 10:30,64,Tuesday,3,34,58,21.06666667,2.8
07-06-2016 10:30,64,Tuesday,3,26,57,20.33333333,2.7
14-06-2016 10:30,64,Tuesday,3,23,56,16.53333333,2.6
21-06-2016 10:30,64,Tuesday,3,32,62,18.96666667,3.2
28-06-2016 10:30,64,Tuesday,3,34,53,17.35,2.3
05-07-2016 10:30,64,Tuesday,3,23,58,23.16666667,2.8
12-07-2016 10:30,64,Tuesday,3,23,55,16.85,2.5
19-07-2016 10:30,64,Tuesday,3,23,55,19.65,2.5
26-07-2016 10:30,64,Tuesday,3,28,62,19.3,3.2
02-08-2016 10:30,64,Tuesday,3,26,56,17.8,2.6
09-08-2016 10:30,64,Tuesday,3,28,56,16.36666667,2.6
16-08-2016 10:30,64,Tuesday,3,26,54,15.01666667,2.4
23-08-2016 10:30,64,Tuesday,3,26,59,18.01666667,2.9
30-08-2016 10:30,64,Tuesday,3,32,60,19.51666667,3
06-09-2016 10:30,64,Tuesday,3,32,61,16.63333333,3.1
13-09-2016 10:30,64,Tuesday,3,34,61,15.48333333,3.1
13-04-2016 19:00,115,Wednesday,4,30,57,21.4,2.7
03-02-2016 19:00,115,Wednesday,4,27,55,21.81666667,2.5
16-12-2015 19:00,115,Wednesday,4,29,46,33.51666667,1.6
20-04-2016 19:00,115,Wednesday,4,28,63,28.33333333,3.3
27-04-2016 19:00,115,Wednesday,4,24,55,20.08333333,2.5
02-03-2016 19:00,115,Wednesday,4,26,61,18.43333333,3.1
04-05-2016 19:00,115,Wednesday,4,26,58,14,2.8
11-05-2016 19:00,115,Wednesday,4,28,57,21.86666667,2.7
09-03-2016 19:00,115,Wednesday,4,26,63,20.05,3.3
16-03-2016 19:00,115,Wednesday,4,30,69,23.51666667,3.9
17-12-2015 19:30,118,Thursday,5,29,54,22.51666667,2.4
14-04-2016 19:30,118,Thursday,5,24,57,21.25,2.7
21-04-2016 19:30,118,Thursday,5,23,62,18.4,3.2
